Coupon,IsActivated,DateExpire,DateActivated,IsUsed,DateUsed,IsCancel,IsFail2Regist,DateCancel,Recruiter,wave,seed_init,chain,c_lower,r_lower
1CLGS,y,2022-12-25 00:00:00,,y,2022-02-09 11:17:41,,,,,0,1CLGS,1CLGS,1clgs,
22YmN,y,2022-03-20 18:22:16,2022-03-06 18:22:16,y,2022-03-06 18:28:59,,,,6HxCr,108,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,ufeu3,47p2f,npptb,63zwg,uccqe,paayj,kzkpr,djsdn,bv7u9,3rjn9,9szwd,azfhc,avfyh,sbyck,swv8y,a255c,kntxy,9yz8a,6hxcr,22YmN",22ymn,6hxcr
23gNn,y,2022-03-21 16:57:36,2022-03-07 16:57:36,y,2022-03-07 18:31:32,,,,vDWgc,87,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,gezmx,2kara,xpghp,h4rxu,frw87,bccnv,uuyvz,8hrtv,vv3t4,desdf,jsmus,nfahv,d2khb,p4hca,xjuka,zbv4x,xxgnt,ruz2k,vcnt3,v3wds,pe6av,e5tkb,pwhch,nharp,ht79q,udpug,amrdm,am4cz,jjbea,vdwgc,23gNn",23gnn,vdwgc
26W9J,y,2022-03-20 22:48:49,2022-03-06 22:48:49,y,2022-03-07 01:03:33,,,,dhFcx,107,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,wkm3n,hzvuc,aauhf,ptm9s,4djuj,5jxt2,wpyt9,qjgtm,pnkng,d6ces,meefm,ectxb,pfzfa,5gzfh,kdpwj,hsyzw,cgbwx,dhfcx,26W9J",26w9j,dhfcx
27WEG,y,2022-03-17 22:55:13,2022-03-03 22:55:13,y,2022-03-03 23:06:06,,,,f2es2,115,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,ufeu3,47p2f,npptb,3artu,wdrwf,g3qsw,xjpf7,hb5q3,mmc3u,wzshq,jjmyq,smjrs,beegh,y7kr2,gtghu,cvgec,qjvby,hnqj2,pcrab,ztsfb,34n6z,8neqh,fqkjc,6nysm,az6w7,f2es2,27WEG",27weg,f2es2
29DVU,y,2022-03-21 15:12:01,2022-03-07 15:12:01,y,2022-03-07 15:23:22,,,,bRpHp,123,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,wkm3n,hzvuc,aauhf,ptm9s,4djuj,5jxt2,wpyt9,qjgtm,pnkng,d6ces,gqddj,z8kx2,y5ckg,eejpf,na6rs,guk44,tesrz,qabw5,xtrbr,kszvu,jpz4w,cdw9p,psgpc,ykajy,vwg5j,dnt36,pf88z,dcby4,hqger,syzse,thta9,ywtwu,svmmc,brphp,29DVU",29dvu,brphp
2ayPG,y,2022-03-09 20:27:25,2022-02-23 20:27:25,y,2022-02-23 20:43:49,,,,qwdmu,105,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,ufcac,hsrc4,xaask,an9vc,rwase,qcsey,6xuyc,ysmdx,5mym7,pzjsn,ckaaf,aawfe,2wrsd,ruu7f,gc9fc,sjx9n,vp4zt,7p65e,fjsfk,b8ftz,8jnwp,rmzxg,vfneh,ghy3n,qwdmu,2ayPG",2aypg,qwdmu
2bqGU,y,2022-03-20 12:40:08,2022-03-06 12:40:08,y,2022-03-06 13:39:59,,,,gkgv4,114,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,ufeu3,47p2f,npptb,3artu,wdrwf,g3qsw,xjpf7,hb5q3,mmc3u,wzshq,jjmyq,smjrs,xsyz7,rftm8,9svqk,9dj4s,67ub6,ekfgx,rfevk,deak2,5xyud,qqkpt,uqnps,qsmxm,gkgv4,2bqGU",2bqgu,gkgv4
2Dxpk,y,2022-03-02 11:53:09,2022-02-16 11:53:09,y,2022-02-16 12:10:58,,,,P5Ww3,17,hwley,"hwley,d5pmj,xyywc,ryr2n,mwvug,wg2hf,kmwbr,egxgx,wcfsx,hced2,hjjpq,rhytj,xjtx7,unnqf,ncqeg,ekgns,p5ww3,2Dxpk",2dxpk,p5ww3
2Fu8J,y,2022-03-22 10:55:37,2022-03-08 10:55:37,y,2022-03-08 11:48:09,,,,aBDdQ,117,hwley,"hwley,d5pmj,peuej,cbadn,fb4v5,dhwyp,y6kvj,c5gka,hnkn8,ypbwn,zza8w,4prx5,55vxd,bmrsv,metfm,5xzqu,sp98t,ajmyu,mazxv,98f2j,vmsct,ebbvk,k3spa,kudm6,dgh5n,rmbht,qh869,t7cb3,s76x5,hp6gy,kk3eb,v4ztu,5qkxq,dr7wp,dgjyd,xgg8y,2hdnv,hnjfm,ryyvp,bzwqz,bbvhu,a5rvz,3ubzx,tx9bd,vmrku,y7hxg,kxqss,zhgc6,a6ajh,t7cmr,8q5m7,xtend,abm7n,75ubs,huqqb,hyvkg,5jhpa,2wmzj,jgjcf,gfnv6,ekr2d,g42j9,zmgym,pae5v,dpxhw,nng7b,yhxr3,qw3fj,v2t3a,6cs5u,gqrqc,fwnnw,zdc9a,m55ba,2yyur,7rarr,y3k5y,32gfm,v5czt,exm7c,jy42t,zhkkp,r3e9n,3jswg,xtgd8,trgsq,3ccsj,bs5mb,sbcp7,wkm3n,hzvuc,aauhf,ptm9s,4djuj,5jxt2,wpyt9,qjgtm,pnkng,d6ces,gqddj,z8kx2,y5ckg,eejpf,na6rs,guk44,tesrz,qabw5,xtrbr,kszvu,jpz4w,cdw9p,psgpc,ykajy,knbku,wqmjt,jb4rr,abddq,2Fu8J",2fu8j,abddq
